0  0.0001 0
1  0.0001 0
2  0.0001 0
3  0.0002 0
4  0.0002 0
5  0.0003 0.0002
6  0.0005 0.0002
7  0.0007 0.0004
8  0.0008 0.0004
9  0.0008 0.0007
10  0.0007 0.0008
11  0.0011 0.0009
12  0.0009 0.0012
13  0.0012 0.0014
14  0.0013 0.0017
15  0.0016 0.002
16  0.0016 0.0022
17  0.0016 0.0024
18  0.0012 0.0028
19  0.0009 0.0033
20  0.0012 0.0034
21  0.0015 0.0034
22  0.0019 0.0034
23  0.0021 0.0037
24  0.0021 0.004
25  0.0028 0.0043
26  0.0023 0.0053
27  0.0031 0.0055
28  0.0035 0.006
29  0.0032 0.0064
30  0.0038 0.0069
31  0.0034 0.0078
32  0.0036 0.008
33  0.003 0.0087
34  0.0033 0.009
35  0.0035 0.0095
36  0.0039 0.01
37  0.0037 0.0107
38  0.0034 0.0116
39  0.0037 0.012
40  0.0042 0.0127
41  0.0036 0.0134
42  0.0039 0.0136
43  0.0038 0.0137
44  0.0046 0.0139
45  0.0054 0.0145
46  0.0052 0.0151
47  0.0065 0.0159
48  0.0069 0.0172
49  0.0069 0.0178
50  0.0063 0.0192
51  0.0066 0.0206
52  0.0069 0.0214
53  0.0068 0.0224
54  0.0065 0.0238
55  0.0072 0.025
56  0.0078 0.0256
57  0.0086 0.0265
58  0.008 0.0279
59  0.0086 0.0291
60  0.0101 0.0292
61  0.0098 0.0302
62  0.0108 0.0317
63  0.013 0.033
64  0.0131 0.0342
65  0.0129 0.0368
66  0.0145 0.0376
67  0.0135 0.0407
68  0.013 0.0427
69  0.0126 0.044
70  0.0133 0.0455
71  0.0129 0.0476
72  0.0125 0.0485
73  0.0119 0.0503
74  0.0115 0.052
75  0.0123 0.0522
76  0.0117 0.0535
77  0.0109 0.0543
78  0.0108 0.0558
79  0.0114 0.0562
80  0.0104 0.0578
81  0.0111 0.0592
82  0.0117 0.0604
83  0.0118 0.0623
84  0.0124 0.0629
85  0.0127 0.064
86  0.0123 0.0655
87  0.0138 0.0664
88  0.0143 0.0684
89  0.014 0.0698
90  0.0137 0.071
91  0.0131 0.0731
92  0.0134 0.0735
93  0.0137 0.075
94  0.0142 0.076
95  0.0142 0.0786
96  0.015 0.0786
97  0.0157 0.0801
98  0.0164 0.0818
99  0.0174 0.0828
100  0.0169 0.0853
101  0.0178 0.0861
102  0.0177 0.0883
103  0.0178 0.0905
104  0.0198 0.092
105  0.0197 0.0943
106  0.0193 0.0962
107  0.0213 0.097
108  0.0208 0.0994
109  0.0217 0.1014
110  0.0217 0.1034
111  0.0217 0.106
112  0.0231 0.1076
113  0.0229 0.1109
114  0.0249 0.1112
115  0.0254 0.1131
116  0.0262 0.1152
117  0.0269 0.1189
118  0.0257 0.1232
119  0.0249 0.1268
120  0.0251 0.1291
121  0.0242 0.1328
122  0.0236 0.135
123  0.0235 0.1371
124  0.024 0.1382
125  0.0248 0.1399
126  0.0236 0.1429
127  0.0222 0.1453
128  0.0221 0.1477
129  0.0208 0.1491
130  0.0207 0.1495
131  0.0194 0.1513
132  0.0184 0.1532
133  0.0182 0.1539
134  0.019 0.1552
135  0.0183 0.1566
136  0.0188 0.1565
137  0.0177 0.1575
138  0.0168 0.1579
139  0.0166 0.1589
140  0.0184 0.1596
141  0.0214 0.1589
142  0.0216 0.1601
143  0.0226 0.1604
144  0.023 0.1623
145  0.0251 0.1622
146  0.0245 0.1644
147  0.0261 0.166
148  0.0255 0.1675
149  0.0257 0.1692
150  0.0251 0.1719
151  0.0256 0.1727
